"product_id","product_variant_name","pmi_product_family","pmi_product_category","brand_tier","pack_size","nicotine_format"
"FUR-BO-10000022","ONP-VAR-878052","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10000034","ONP-VAR-690938","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BO-10000035","ONP-VAR-560989","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10000038","ONP-VAR-752483","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10000071","ONP-VAR-423101","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10000087","ONP-VAR-939050","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10000112","ONP-VAR-084340","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10000120","ONP-VAR-523338","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10000148","ONP-VAR-946917","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10000155","ONP-VAR-243765","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10000160","ONP-VAR-410723","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10000170","ONP-VAR-622210","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10000175","ONP-VAR-833980","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10000184","ONP-VAR-118199","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BO-10000195","ONP-VAR-063541","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10000203","ONP-VAR-308946","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10000208","ONP-VAR-399023","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10000210","ONP-VAR-901865","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10000214","ONP-VAR-868043","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BO-10000243","ONP-VAR-633706","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10000259","ONP-VAR-072419","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10000265","ONP-VAR-418025","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10000268","ONP-VAR-244683","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10000269","ONP-VAR-645252","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10000279","ONP-VAR-310373","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10000288","ONP-VAR-898224","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10000311","ONP-VAR-998134","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10000321","ONP-VAR-515226","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10000330","ONP-VAR-024714","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10000362","ONP-VAR-029076","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10000378","ONP-VAR-315117","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10000402","ONP-VAR-767596","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10000411","ONP-VAR-065668","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10000425","ONP-VAR-744162","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10000468","ONP-VAR-226807","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10000490","ONP-VAR-468944","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10000502","ONP-VAR-658368","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10000514","ONP-VAR-325110","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10000517","ONP-VAR-008920","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10000533","ONP-VAR-390299","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BO-10000567","ONP-VAR-511446","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10000596","ONP-VAR-399581","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10000610","ONP-VAR-845832","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10000616","ONP-VAR-484056","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10000623","ONP-VAR-184718","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BO-10000624","ONP-VAR-981954","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10000636","ONP-VAR-526741","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10000655","ONP-VAR-911939","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10000666","ONP-VAR-646544","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10000668","ONP-VAR-589855","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10000670","ONP-VAR-159823","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10000676","ONP-VAR-237499","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10000684","ONP-VAR-603394","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10000699","ONP-VAR-694596","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10000700","ONP-VAR-650429","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10000711","ONP-VAR-706450","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10000712","ONP-VAR-658346","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10000728","ONP-VAR-463071","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10000734","ONP-VAR-972030","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10000746","ONP-VAR-281745","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10000780","ONP-VAR-613696","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10000786","ONP-VAR-803675","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10000791","ONP-VAR-668223","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10000797","ONP-VAR-164886","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10000807","ONP-VAR-275406","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10000820","ONP-VAR-266085","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10000847","ONP-VAR-936400","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10000883","ONP-VAR-007578","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10000889","ONP-VAR-183367","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10000891","ONP-VAR-065390","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10000892","ONP-VAR-380046","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10000895","ONP-VAR-574297","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10000936","ONP-VAR-044756","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10000961","ONP-VAR-410762","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10000967","ONP-VAR-172306","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10000980","ONP-VAR-915174","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10001003","ONP-VAR-280062","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10001010","ONP-VAR-982150","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10001039","ONP-VAR-068271","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10001042","ONP-VAR-241391","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10001067","ONP-VAR-576441","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10001073","ONP-VAR-921992","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10001099","ONP-VAR-071097","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10001133","ONP-VAR-635326","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10001147","ONP-VAR-492383","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10001155","ONP-VAR-056686","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10001165","ONP-VAR-017020","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10001192","ONP-VAR-719149","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10001196","ONP-VAR-617844","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10001201","ONP-VAR-737257","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10001212","ONP-VAR-165301","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10001216","ONP-VAR-830301","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10001233","ONP-VAR-990529","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10001254","ONP-VAR-999860","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001255","ONP-VAR-519826","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10001256","ONP-VAR-690825","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10001271","ONP-VAR-725236","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10001276","ONP-VAR-399642","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10001287","ONP-VAR-349367","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10001295","ONP-VAR-092044","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10001309","ONP-VAR-874149","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10001318","ONP-VAR-504239","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001324","ONP-VAR-169289","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001326","ONP-VAR-668036","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001337","ONP-VAR-713222","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10001342","ONP-VAR-135666","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10001356","ONP-VAR-824291","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10001358","ONP-VAR-102476","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001362","ONP-VAR-896687","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BO-10001369","ONP-VAR-571230","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10001370","ONP-VAR-436927","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10001372","ONP-VAR-182981","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001385","ONP-VAR-905252","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001387","ONP-VAR-295868","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001390","ONP-VAR-046829","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10001392","ONP-VAR-612243","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10001393","ONP-VAR-875841","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10001405","ONP-VAR-812396","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BO-10001436","ONP-VAR-886540","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10001452","ONP-VAR-085996","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10001461","ONP-VAR-554390","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10001471","ONP-VAR-667617","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10001476","ONP-VAR-642621","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10001483","ONP-VAR-829371","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10001498","ONP-VAR-817644","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10001501","ONP-VAR-794048","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10001507","ONP-VAR-662757","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10001519","ONP-VAR-575809","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10001524","ONP-VAR-233056","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10001537","ONP-VAR-825849","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10001541","ONP-VAR-525792","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10001553","ONP-VAR-695698","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10001555","ONP-VAR-798368","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10001558","ONP-VAR-971671","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10001567","ONP-VAR-051983","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001580","ONP-VAR-067994","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BO-10001585","ONP-VAR-478738","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10001596","ONP-VAR-067125","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10001598","ONP-VAR-285783","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10001601","ONP-VAR-588965","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10001608","ONP-VAR-618534","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10001619","ONP-VAR-564237","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10001621","ONP-VAR-908453","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001641","ONP-VAR-121549","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10001646","ONP-VAR-790267","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10001668","ONP-VAR-672874","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10001679","ONP-VAR-072680","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10001699","ONP-VAR-209298","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10001708","ONP-VAR-482062","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10001714","ONP-VAR-263714","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10001721","ONP-VAR-061280","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10001739","ONP-VAR-213114","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10001746","ONP-VAR-665659","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10001749","ONP-VAR-414820","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10001753","ONP-VAR-772507","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10001779","ONP-VAR-569590","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10001781","ONP-VAR-075552","Oral Nicotine","Nicotine Pouches","Premium","20-pack","Oral"
"FUR-BO-10001798","ONP-VAR-464457","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10001811","ONP-VAR-975613","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10001822","ONP-VAR-617108","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001831","ONP-VAR-056877","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10001834","ONP-VAR-738725","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001835","ONP-VAR-908939","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10001860","ONP-VAR-913155","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10001867","ONP-VAR-764078","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10001872","ONP-VAR-533300","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BO-10001873","ONP-VAR-602963","Oral Nicotine","Nicotine Pouches","Value","Multi-pack","Oral"
"FUR-BO-10001874","ONP-VAR-482609","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001875","ONP-VAR-730548","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10001876","ONP-VAR-490959","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10001888","ONP-VAR-206228","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10001892","ONP-VAR-191472","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10001918","ONP-VAR-529744","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10001934","ONP-VAR-584785","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10001943","ONP-VAR-307107","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10001946","ONP-VAR-839590","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10001966","ONP-VAR-971102","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10001967","ONP-VAR-277365","Oral Nicotine","Nicotine Pouches","Premium","10-pack","Oral"
"FUR-BO-10001969","ONP-VAR-962514","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10001972","ONP-VAR-070749","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10002000","ONP-VAR-884159","Oral Nicotine","Nicotine Pouches","Value","10-pack","Oral"
"FUR-BO-10002003","ONP-VAR-370449","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10002008","ONP-VAR-169269","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10002031","ONP-VAR-133687","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10002032","ONP-VAR-296514","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10002042","ONP-VAR-497830","Oral Nicotine","Nicotine Pouches","Core","10-pack","Oral"
"FUR-BO-10002084","ONP-VAR-570679","Oral Nicotine","Nicotine Pouches","Core","20-pack","Oral"
"FUR-BO-10002109","ONP-VAR-290014","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10002133","ONP-VAR-446970","Oral Nicotine","Nicotine Pouches","Premium","30-pack","Oral"
"FUR-BO-10002142","ONP-VAR-538041","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10002182","ONP-VAR-656523","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10002202","ONP-VAR-650384","Oral Nicotine","Nicotine Pouches","Value","30-pack","Oral"
"FUR-BO-10002204","ONP-VAR-481680","Oral Nicotine","Nicotine Pouches","Premium","Multi-pack","Oral"
"FUR-BO-10002206","ONP-VAR-254410","Oral Nicotine","Nicotine Pouches","Core","Multi-pack","Oral"
"FUR-BO-10002213","ONP-VAR-586742","Oral Nicotine","Nicotine Pouches","Value","20-pack","Oral"
"FUR-BO-10002214","ONP-VAR-417649","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
"FUR-BO-10002235","ONP-VAR-270370","Oral Nicotine","Nicotine Pouches","Core","30-pack","Oral"
