operating_country,channel_name,pmi_product_family,brand_tier,weeks,corr_price_volume,corr_price_netrev
South Africa,Retail,Cigarettes,Core,33,-0.172979229,0.666092251
Thailand,Retail,Heated Tobacco,Core,10,-0.17292716,0.501568442
China,E-Commerce,Cigarettes,Core,44,-0.172926433,0.792636647
Iraq,Retail,Cigarettes,Core,35,-0.172745479,0.625767878
Iran,Key Accounts,Cigarettes,Premium,34,-0.171535453,0.734625641
Germany,Retail,Cigarettes,Value,125,-0.171513651,0.625314078
China,E-Commerce,Cigarettes,Premium,44,-0.170790991,0.829369688
Peru,Retail,Cigarettes,Core,12,-0.170603991,0.994435065
Saudi Arabia,Key Accounts,Cigarettes,Value,21,-0.170545276,0.630717005
Thailand,Retail,Cigarettes,Core,23,-0.170467847,0.485433525
Cuba,Key Accounts,Cigarettes,Premium,33,-0.168059387,0.746802813
New Zealand,E-Commerce,Oral Nicotine,Premium,13,-0.16692284,0.555983292
Mexico,E-Commerce,Oral Nicotine,Core,31,-0.16576123,0.736228563
Thailand,Retail,Cigarettes,Value,16,-0.165568632,0.963072712
Honduras,Retail,Cigarettes,Value,52,-0.164689469,0.600167501
Colombia,Key Accounts,Cigarettes,Core,18,-0.164252399,0.688000667
Turkey,Key Accounts,Oral Nicotine,Core,19,-0.16388904,0.633862704
Poland,Retail,Cigarettes,Premium,18,-0.163806799,0.78329106
United States,Key Accounts,Heated Tobacco,Value,108,-0.160998578,0.685936073
South Africa,Key Accounts,Heated Tobacco,Core,15,-0.160916881,0.559898528
Canada,Key Accounts,Cigarettes,Premium,19,-0.160508375,0.578348704
Poland,Retail,Cigarettes,Core,15,-0.158494851,0.638056727
Saudi Arabia,Key Accounts,Cigarettes,Premium,25,-0.157920977,0.772166874
United Kingdom,Key Accounts,Oral Nicotine,Premium,27,-0.157824338,0.830658244
Brazil,Key Accounts,Cigarettes,Value,65,-0.156690353,0.710970025
Guatemala,E-Commerce,Oral Nicotine,Premium,12,-0.156690031,0.852876028
Spain,Retail,Heated Tobacco,Premium,21,-0.154479432,0.518555338
Nicaragua,Retail,Heated Tobacco,Core,17,-0.151617539,0.783298902
Venezuela,Retail,Cigarettes,Core,18,-0.150227732,0.959797488
Austria,E-Commerce,Cigarettes,Core,14,-0.149300105,0.397127153
Belgium,Retail,Cigarettes,Value,12,-0.149078338,0.674267371
Cuba,E-Commerce,Cigarettes,Value,22,-0.14840396,0.595420709
New Zealand,Key Accounts,Heated Tobacco,Value,11,-0.146431202,0.723427944
Iraq,Key Accounts,Cigarettes,Core,18,-0.14601882,0.708217739
France,Retail,Heated Tobacco,Value,62,-0.1456244,0.660359977
Brazil,Retail,Oral Nicotine,Value,60,-0.145284564,0.770417759
Mexico,E-Commerce,Oral Nicotine,Premium,21,-0.145247262,0.504337671
China,Key Accounts,Cigarettes,Value,66,-0.144988866,0.69558337
Iraq,Key Accounts,Cigarettes,Value,21,-0.144389521,0.885455621
New Zealand,Key Accounts,Heated Tobacco,Premium,16,-0.142896667,0.55725139
Poland,Retail,Cigarettes,Value,25,-0.142258654,0.707194993
Honduras,Key Accounts,Cigarettes,Value,21,-0.141852424,0.811700156
Iran,Retail,Oral Nicotine,Premium,15,-0.141294298,0.699068043
Brazil,Retail,Oral Nicotine,Premium,49,-0.141210174,0.548070827
Turkey,Retail,Oral Nicotine,Value,29,-0.141037976,0.41381298
Honduras,Retail,Cigarettes,Core,44,-0.139895967,0.554144787
Turkey,Key Accounts,Cigarettes,Premium,55,-0.137853842,0.669091836
Brazil,E-Commerce,Cigarettes,Core,43,-0.137623309,0.787967461
Guatemala,Key Accounts,Cigarettes,Value,21,-0.136592394,0.880747446
Peru,Retail,Cigarettes,Premium,14,-0.131487415,0.941335668
Nigeria,Retail,Heated Tobacco,Premium,33,-0.131448626,0.477619595
Chile,Retail,Cigarettes,Value,18,-0.131428149,0.946919223
Netherlands,Key Accounts,Cigarettes,Value,24,-0.130051558,0.902471607
Guatemala,Key Accounts,Cigarettes,Core,17,-0.129503678,0.9021053
Honduras,E-Commerce,Cigarettes,Premium,28,-0.129268575,0.639271549
Vietnam,Retail,Oral Nicotine,Core,11,-0.128961959,0.366940545
Morocco,Retail,Oral Nicotine,Premium,10,-0.127928428,0.911617267
Australia,Key Accounts,Oral Nicotine,Premium,41,-0.12673372,0.698090817
Mexico,E-Commerce,Cigarettes,Premium,58,-0.126247618,0.889199505
Italy,E-Commerce,Heated Tobacco,Premium,11,-0.125935044,0.520294219
Japan,Key Accounts,Cigarettes,Core,11,-0.125383327,0.834928991
Argentina,Key Accounts,Cigarettes,Premium,14,-0.125291296,0.638985231
United Kingdom,Retail,Cigarettes,Value,116,-0.123804837,0.74425816
Colombia,Retail,Cigarettes,Core,22,-0.123082141,0.475285361
Turkey,Key Accounts,Cigarettes,Value,66,-0.122262721,0.628403927
Italy,Retail,Oral Nicotine,Core,19,-0.121352174,0.779071922
Morocco,Retail,Cigarettes,Core,39,-0.121232207,0.646260404
Turkey,Retail,Heated Tobacco,Core,39,-0.12071403,0.372727383
Iran,Retail,Heated Tobacco,Premium,23,-0.120165079,0.343606112
Honduras,Retail,Heated Tobacco,Premium,18,-0.118678746,0.947507902
Israel,Retail,Cigarettes,Core,11,-0.118475858,0.875520047
Cuba,Key Accounts,Heated Tobacco,Value,20,-0.11740974,0.745705674
France,Key Accounts,Oral Nicotine,Premium,40,-0.116307825,0.46963521
El Salvador,Key Accounts,Cigarettes,Value,31,-0.115817828,0.753877223
China,Key Accounts,Heated Tobacco,Core,29,-0.114701753,0.642905592
United Kingdom,Key Accounts,Cigarettes,Premium,69,-0.113466292,0.74517154
Netherlands,Retail,Oral Nicotine,Core,19,-0.112908515,0.630236518
Egypt,Retail,Heated Tobacco,Premium,15,-0.111428137,0.588154426
China,Key Accounts,Oral Nicotine,Value,33,-0.111223891,0.699626927
Mexico,Key Accounts,Oral Nicotine,Core,59,-0.11093294,0.512996817
Philippines,Retail,Cigarettes,Value,50,-0.110414912,0.692505795
Brazil,Retail,Heated Tobacco,Value,57,-0.109073755,0.69997023
Spain,Retail,Heated Tobacco,Core,27,-0.108935599,0.467898154
Guatemala,Key Accounts,Cigarettes,Premium,24,-0.108291984,0.686236205
Ukraine,Retail,Cigarettes,Value,42,-0.107963264,0.729474578
Ireland,Retail,Cigarettes,Core,11,-0.107826218,0.640905966
France,Key Accounts,Cigarettes,Value,105,-0.107757964,0.639812834
El Salvador,Retail,Cigarettes,Value,50,-0.106931099,0.608767289
Italy,Retail,Oral Nicotine,Premium,26,-0.106336338,0.718721615
Dominican Republic,E-Commerce,Cigarettes,Value,31,-0.106320117,0.867121335
New Zealand,Retail,Cigarettes,Value,49,-0.106184419,0.513293643
Democratic Republic of the Congo,Retail,Cigarettes,Premium,36,-0.104950272,0.666507825
South Korea,Retail,Cigarettes,Value,15,-0.104511242,0.39405412
Italy,Key Accounts,Heated Tobacco,Premium,31,-0.104051267,0.67641005
India,E-Commerce,Cigarettes,Value,37,-0.102799145,0.646576317
New Zealand,Key Accounts,Oral Nicotine,Core,19,-0.102101495,0.905764608
India,Key Accounts,Cigarettes,Core,63,-0.101877029,0.710671589
Zambia,Retail,Cigarettes,Core,10,-0.101565658,0.362736039
Tanzania,Retail,Cigarettes,Value,14,-0.10004687,0.953875938
Honduras,E-Commerce,Heated Tobacco,Premium,12,-0.099644368,0.414973712
Argentina,Retail,Cigarettes,Premium,33,-0.099613873,0.557846767
Netherlands,Retail,Cigarettes,Premium,36,-0.09921678,0.739191625
Brazil,Key Accounts,Cigarettes,Core,58,-0.098994611,0.866898275
Japan,Retail,Cigarettes,Core,19,-0.098830736,0.561100274
United States,Key Accounts,Heated Tobacco,Core,117,-0.098752231,0.601224426
Democratic Republic of the Congo,Retail,Cigarettes,Core,34,-0.097584349,0.746104925
Germany,Retail,Cigarettes,Core,120,-0.097025994,0.712899582
Pakistan,Key Accounts,Cigarettes,Premium,12,-0.095672336,0.396741508
Netherlands,Retail,Cigarettes,Core,40,-0.093969885,0.818202229
Nigeria,Retail,Heated Tobacco,Core,25,-0.093704968,0.41041905
Brazil,E-Commerce,Heated Tobacco,Value,21,-0.09351924,0.707277971
Morocco,Key Accounts,Cigarettes,Core,23,-0.09329858,0.985557228
China,Retail,Cigarettes,Value,108,-0.093012363,0.818836271
Spain,E-Commerce,Cigarettes,Core,29,-0.092227362,0.443849471
Nicaragua,Retail,Cigarettes,Premium,43,-0.091988497,0.857306304
Turkey,Retail,Cigarettes,Value,99,-0.091940895,0.5590807
United Kingdom,E-Commerce,Heated Tobacco,Core,18,-0.091414999,0.730621503
Cuba,Key Accounts,Heated Tobacco,Core,14,-0.091089653,0.684270359
Guatemala,Key Accounts,Heated Tobacco,Value,14,-0.09050652,0.873362936
Brazil,E-Commerce,Cigarettes,Premium,42,-0.089549691,0.883447233
Mexico,Retail,Cigarettes,Value,136,-0.088704449,0.751366708
Philippines,Retail,Cigarettes,Premium,46,-0.088203041,0.771584937
Canada,Key Accounts,Cigarettes,Value,20,-0.087915165,0.877351385
Guatemala,Retail,Cigarettes,Core,38,-0.086701513,0.788993491
France,Retail,Heated Tobacco,Core,86,-0.08643604,0.547915004
Mexico,Key Accounts,Oral Nicotine,Premium,49,-0.086212216,0.654298939
Brazil,Retail,Heated Tobacco,Core,49,-0.085761906,0.866798309
France,Key Accounts,Heated Tobacco,Premium,40,-0.085069954,0.433317168
United States,Retail,Heated Tobacco,Core,148,-0.084752414,0.745567784
United States,Retail,Cigarettes,Premium,202,-0.083784996,0.533165418
India,Retail,Cigarettes,Premium,92,-0.083612307,0.761647926
Japan,Retail,Cigarettes,Premium,21,-0.083571987,0.344665896
Netherlands,Retail,Heated Tobacco,Premium,16,-0.082522834,0.66621792
Iran,Retail,Cigarettes,Premium,40,-0.082369585,0.444322318
Saudi Arabia,Retail,Cigarettes,Value,26,-0.082144242,0.764254063
Russia,Retail,Cigarettes,Value,36,-0.08194428,0.565132624
Nigeria,E-Commerce,Cigarettes,Premium,26,-0.081763625,0.360831684
Dominican Republic,Retail,Heated Tobacco,Core,24,-0.080640245,0.612882694
India,E-Commerce,Oral Nicotine,Value,22,-0.080153104,0.833636574
Mexico,Retail,Oral Nicotine,Value,74,-0.078853677,0.5833926
Indonesia,E-Commerce,Cigarettes,Premium,41,-0.078287478,0.855760152
Cameroon,Retail,Cigarettes,Value,10,-0.077046506,0.912758072
Australia,E-Commerce,Heated Tobacco,Core,25,-0.076398881,0.621065067
France,Key Accounts,Heated Tobacco,Value,42,-0.076345476,0.483755742
Philippines,Retail,Oral Nicotine,Core,32,-0.076090266,0.583549694
Turkey,Key Accounts,Cigarettes,Core,67,-0.074234309,0.618999204
Dominican Republic,E-Commerce,Oral Nicotine,Value,14,-0.073545814,0.812526037
Peru,Retail,Cigarettes,Value,16,-0.072836943,0.51548577
Mexico,Key Accounts,Cigarettes,Premium,95,-0.072327271,0.794579703
Italy,Retail,Cigarettes,Core,68,-0.072165392,0.816814506
Honduras,E-Commerce,Cigarettes,Value,25,-0.07201662,0.729476104
Dominican Republic,Retail,Cigarettes,Core,51,-0.0705903,0.575001953
Germany,E-Commerce,Cigarettes,Premium,42,-0.070247187,0.683030933
Cuba,Retail,Oral Nicotine,Core,22,-0.070067604,0.72347945
El Salvador,E-Commerce,Cigarettes,Premium,24,-0.068302149,0.802466536
Australia,Retail,Oral Nicotine,Core,81,-0.067739729,0.701889522
Dominican Republic,E-Commerce,Cigarettes,Premium,27,-0.067472099,0.891601805
Honduras,Key Accounts,Heated Tobacco,Premium,14,-0.066697953,0.594381067
Morocco,Key Accounts,Cigarettes,Value,24,-0.066166762,0.772622149
India,Retail,Oral Nicotine,Premium,54,-0.064158813,0.760632177
Italy,E-Commerce,Cigarettes,Core,31,-0.063184555,0.858356453
Thailand,Retail,Cigarettes,Premium,23,-0.062376979,0.785581143
Indonesia,Retail,Cigarettes,Core,89,-0.06162215,0.58733615
Nicaragua,E-Commerce,Heated Tobacco,Value,13,-0.06080824,0.885863763
Ukraine,Retail,Heated Tobacco,Core,10,-0.059275627,0.468184442
India,Key Accounts,Cigarettes,Premium,62,-0.059072448,0.892392903
United States,E-Commerce,Oral Nicotine,Value,80,-0.057789851,0.588176437
El Salvador,Key Accounts,Oral Nicotine,Value,15,-0.057620541,0.785885196
Venezuela,Retail,Cigarettes,Premium,17,-0.057197611,0.772902816
Brazil,Key Accounts,Cigarettes,Premium,56,-0.055879381,0.930989181
Vietnam,Retail,Cigarettes,Premium,18,-0.055836666,0.674902442
Germany,E-Commerce,Cigarettes,Value,55,-0.055678115,0.882193376
Belarus,Retail,Cigarettes,Core,13,-0.054943956,0.800865829
United States,Key Accounts,Oral Nicotine,Core,118,-0.05465968,0.655360868
Iran,Retail,Oral Nicotine,Value,15,-0.053579313,0.787129466
Nigeria,Retail,Oral Nicotine,Core,23,-0.053096072,0.515753386
Nigeria,Retail,Cigarettes,Value,71,-0.053003003,0.483427245
Indonesia,Key Accounts,Cigarettes,Value,54,-0.05275262,0.790917183
Panama,E-Commerce,Cigarettes,Premium,12,-0.052682001,0.962834859
United States,Key Accounts,Oral Nicotine,Premium,121,-0.052198286,0.774570589
Italy,Retail,Cigarettes,Premium,81,-0.052008005,0.482443204
Mozambique,Retail,Cigarettes,Value,11,-0.050734891,0.684751372
Philippines,Retail,Heated Tobacco,Core,20,-0.050309709,0.861462251
Germany,Key Accounts,Cigarettes,Value,79,-0.049770216,0.456212283
United Kingdom,Retail,Cigarettes,Core,114,-0.049492627,0.594229693
