operating_country,channel_name,pmi_product_family,brand_tier,wholesaler_tier,weeks,shipments_units,avg_price_realization,avg_list_price,avg_net_price,avg_leakage_per_unit
United Arab Emirates,Retail,Heated Tobacco,Core,T2,1,4,0.3,80,24,56
United Arab Emirates,Retail,Oral Nicotine,Premium,T2,1,6,0.3,125,37.5,87.5
Yemen,Key Accounts,Cigarettes,Premium,T1,1,4,0.3,55,16.5,38.5
Yemen,Retail,Heated Tobacco,Value,T2,1,1,0.3,140,42,98
Zimbabwe,E-Commerce,Heated Tobacco,Premium,T3,1,2,0.3,170,51,119
Zimbabwe,E-Commerce,Heated Tobacco,Value,T3,1,1,0.3,260,78,182
Zimbabwe,Key Accounts,Oral Nicotine,Premium,T1,1,1,0.3,170,51,119
Uganda,Retail,Heated Tobacco,Premium,T2,1,4,0.300000012,200.833325,60.25,140.583325
Turkmenistan,Retail,Oral Nicotine,Value,T2,1,2,0.300000028,363.3333,109,254.3333
Lithuania,Key Accounts,Cigarettes,Core,T1,1,5,0.300000046,174.66664,52.4,122.26664
Uganda,Retail,Heated Tobacco,Value,T2,1,2,0.300000059,168.3333,50.5,117.8333
Zimbabwe,Key Accounts,Oral Nicotine,Value,T1,1,2,0.30000007,143.3333,43,100.3333
Turkmenistan,E-Commerce,Heated Tobacco,Value,T3,1,1,0.300000097,103.3333,31,72.3333
Yemen,Retail,Oral Nicotine,Value,T2,1,1,0.30000012,83.3333,25,58.3333
Kazakhstan,E-Commerce,Heated Tobacco,Value,T3,1,4,0.300000132,75.8333,22.75,53.0833
Turkmenistan,Retail,Heated Tobacco,Value,T2,1,6,0.300000136,73.3333,22,51.3333
Zimbabwe,Key Accounts,Heated Tobacco,Value,T1,1,1,0.300000136,73.3333,22,51.3333
Turkmenistan,E-Commerce,Oral Nicotine,Premium,T3,1,6,0.300000183,163.8889,49.1667,114.7222
Kazakhstan,E-Commerce,Cigarettes,Premium,T3,1,1,0.300000188,53.3333,16,37.3333
Turkmenistan,Key Accounts,Cigarettes,Premium,T1,1,1,0.300000188,53.3333,16,37.3333
Turkmenistan,Key Accounts,Oral Nicotine,Core,T1,1,1,0.300000188,53.3333,16,37.3333
Yemen,E-Commerce,Cigarettes,Premium,T3,1,6,0.300000203,197.2222,59.1667,138.0555
United Arab Emirates,Retail,Heated Tobacco,Premium,T2,1,6,0.300000231,43.3333,13,30.3333
Zimbabwe,Retail,Oral Nicotine,Premium,T2,1,1,0.300000231,43.3333,13,30.3333
United Arab Emirates,Key Accounts,Cigarettes,Value,T1,1,2,0.300000353,28.3333,8.5,19.8333
United Arab Emirates,Key Accounts,Cigarettes,Core,T1,1,1,0.300000429,23.3333,7,16.3333
Haiti,Key Accounts,Oral Nicotine,Core,T1,1,1,0.30000075,13.3333,4,9.3333
Tajikistan,Retail,Cigarettes,Value,T2,1,1,0.30000075,13.3333,4,9.3333
Uganda,Key Accounts,Cigarettes,Core,T1,1,5,0.30000075,13.3333,4,9.3333
Lithuania,E-Commerce,Cigarettes,Value,T3,1,4,0.300000923,10.8333,3.25,7.5833
Papua New Guinea,E-Commerce,Cigarettes,Value,T3,1,6,0.499999348,38.33335,19.16665,19.1667
South Korea,E-Commerce,Heated Tobacco,Premium,T3,1,11,0.499999519,66.18184545,33.09089091,33.09095455
South Korea,Key Accounts,Heated Tobacco,Premium,T1,1,7,0.499999708,73.42858571,36.71427143,36.71431429
Portugal,Key Accounts,Oral Nicotine,Premium,T1,1,6,0.499999887,440.6667,220.3333,220.3334
Denmark,E-Commerce,Cigarettes,Core,T3,1,1,0.5,50,25,25
Denmark,Key Accounts,Cigarettes,Core,T1,1,2,0.5,17,8.5,8.5
Denmark,Key Accounts,Oral Nicotine,Core,T1,1,3,0.5,58,29,29
Denmark,Retail,Oral Nicotine,Premium,T2,1,4,0.5,460,230,230
Ireland,Key Accounts,Heated Tobacco,Value,T1,1,5,0.5,65.2,32.6,32.6
Netherlands,E-Commerce,Heated Tobacco,Core,T3,1,2,0.5,320,160,160
Netherlands,E-Commerce,Heated Tobacco,Premium,T3,1,3,0.5,72,36,36
Pakistan,E-Commerce,Heated Tobacco,Premium,T3,1,3,0.5,44.66666667,22.33333333,22.33333333
Papua New Guinea,E-Commerce,Cigarettes,Core,T3,1,7,0.5,4,2,2
Papua New Guinea,E-Commerce,Cigarettes,Premium,T3,1,4,0.5,11,5.5,5.5
Papua New Guinea,Key Accounts,Cigarettes,Premium,T1,1,4,0.5,34,17,17
Papua New Guinea,Key Accounts,Heated Tobacco,Value,T1,1,2,0.5,80,40,40
Papua New Guinea,Retail,Heated Tobacco,Premium,T2,1,2,0.5,103,51.5,51.5
Portugal,E-Commerce,Cigarettes,Premium,T3,1,2,0.5,69,34.5,34.5
Portugal,Retail,Heated Tobacco,Value,T2,1,5,0.5,74.4,37.2,37.2
South Korea,E-Commerce,Heated Tobacco,Core,T3,1,8,0.5,362.25,181.125,181.125
Sweden,E-Commerce,Oral Nicotine,Value,T3,1,4,0.5,148.5,74.25,74.25
Ireland,E-Commerce,Heated Tobacco,Value,T3,1,3,0.500000339,147.3333,73.6667,73.6666
Denmark,Key Accounts,Heated Tobacco,Core,T1,1,8,0.500000526,71.249975,35.625025,35.62495
Portugal,Key Accounts,Oral Nicotine,Core,T1,1,7,0.500001224,40.8571,20.4286,20.4285
Portugal,Key Accounts,Heated Tobacco,Premium,T1,1,9,0.500001844,27.1111,13.5556,13.5555
Haiti,E-Commerce,Oral Nicotine,Premium,T3,1,9,0.527999578,32.40743333,17.11111111,15.29632222
Venezuela,Key Accounts,Heated Tobacco,Core,T1,1,5,0.597999908,252.5084,151,101.5084
Lithuania,Retail,Cigarettes,Core,T2,2,3,0.599998853,35,10.5,24.5
Haiti,Retail,Heated Tobacco,Premium,T2,1,2,0.59999925,26.6667,16,10.6667
Haiti,E-Commerce,Cigarettes,Premium,T3,1,2,0.599999415,34.1667,20.5,13.6667
Lithuania,Retail,Oral Nicotine,Value,T2,2,10,0.599999478,384.1667,115.25,268.9167
Haiti,E-Commerce,Oral Nicotine,Core,T3,1,3,0.599999523,83.8889,50.3333,33.5556
Turkmenistan,Retail,Heated Tobacco,Core,T2,2,8,0.599999652,161.1111,48.3333,112.7778
Syria,E-Commerce,Heated Tobacco,Core,T3,1,2,0.599999769,86.6667,52,34.6667
Uganda,E-Commerce,Heated Tobacco,Value,T3,2,2,0.599999811,323.3334,97,226.3334
Kazakhstan,Key Accounts,Heated Tobacco,Core,T1,2,2,0.599999867,303.3334,91,212.3334
Kazakhstan,Retail,Heated Tobacco,Value,T2,2,6,0.599999929,461.6667,138.5,323.1667
Lithuania,Retail,Heated Tobacco,Value,T2,2,3,0.59999994,281.6667,84.5,197.1667
Turkmenistan,Retail,Cigarettes,Core,T2,2,9,0.599999947,108.75,32.625,76.125
Syria,Key Accounts,Heated Tobacco,Premium,T1,1,4,0.599999969,654.1667,392.5,261.6667
Uganda,E-Commerce,Oral Nicotine,Core,T3,2,2,0.599999973,426.6667,128,298.6667
Zimbabwe,Key Accounts,Oral Nicotine,Core,T1,2,3,0.599999979,496.6667,149,347.6667
Lithuania,Retail,Heated Tobacco,Core,T2,2,7,0.599999985,681.6667,204.5,477.1667
Yemen,Key Accounts,Cigarettes,Value,T1,2,11,0.599999996,311.2963,93.38888889,217.9074111
Haiti,E-Commerce,Cigarettes,Value,T3,1,3,0.6,35,21,14
Peru,E-Commerce,Oral Nicotine,Value,T3,1,2,0.6,290,174,116
Peru,Key Accounts,Heated Tobacco,Premium,T1,1,8,0.6,93.125,55.875,37.25
Uganda,E-Commerce,Cigarettes,Premium,T3,2,6,0.6,80,24,56
Uganda,Key Accounts,Oral Nicotine,Core,T1,2,2,0.6,460,138,322
United Arab Emirates,Retail,Cigarettes,Value,T2,2,4,0.6,20,6,14
Yemen,Retail,Oral Nicotine,Core,T2,2,3,0.6,275,82.5,192.5
Zimbabwe,Retail,Heated Tobacco,Value,T2,2,4,0.600000058,293.3333,88,205.3333
Lithuania,Key Accounts,Heated Tobacco,Value,T1,2,2,0.600000063,400,120,280
Lithuania,Key Accounts,Heated Tobacco,Premium,T1,2,5,0.600000066,611.6666,183.5,428.1666
Zimbabwe,Retail,Heated Tobacco,Core,T2,2,5,0.600000078,178.3333,53.5,124.8333
Kazakhstan,Key Accounts,Heated Tobacco,Value,T1,2,5,0.600000088,178.3333,53.5,124.8333
Kazakhstan,Key Accounts,Oral Nicotine,Value,T1,2,3,0.60000012,133.3333,40,93.3333
Kazakhstan,Key Accounts,Oral Nicotine,Core,T1,2,8,0.600000175,300.5556,90.1667,210.3889
Kazakhstan,Key Accounts,Heated Tobacco,Premium,T1,2,2,0.600000198,236.6666,71,165.6666
Zimbabwe,Key Accounts,Heated Tobacco,Premium,T1,2,11,0.600000204,221.6666,66.5,155.1666
Yemen,Retail,Oral Nicotine,Premium,T2,2,2,0.600000338,136.6666,41,95.6666
Haiti,E-Commerce,Heated Tobacco,Core,T3,1,3,0.600000375,53.3333,32,21.3333
Haiti,Key Accounts,Heated Tobacco,Core,T1,1,3,0.600000375,53.3333,32,21.3333
Uganda,Retail,Cigarettes,Premium,T2,2,7,0.60000075,33.3333,10,23.3333
Syria,Retail,Heated Tobacco,Core,T2,1,3,0.68243524,270.1111,184.3333333,85.77776667
Myanmar (Burma),E-Commerce,Oral Nicotine,Core,T3,1,7,0.730000326,147.1624,107.4286,39.7338
Denmark,Retail,Oral Nicotine,Core,T2,2,10,0.8,95.3125,38.125,57.1875
Papua New Guinea,Key Accounts,Oral Nicotine,Core,T1,1,2,0.8,135,108,27
South Korea,Key Accounts,Oral Nicotine,Premium,T1,1,4,0.8,123.125,98.5,24.625
Papua New Guinea,Retail,Oral Nicotine,Core,T2,1,3,0.8,48.75,39,9.75
Papua New Guinea,Key Accounts,Oral Nicotine,Premium,T1,1,7,0.800000371,53.9286,43.1429,10.7857
Ecuador,E-Commerce,Oral Nicotine,Value,T3,1,10,0.825725825,328.075,270.9,57.175
Bolivia,E-Commerce,Oral Nicotine,Premium,T3,1,12,0.838139565,179.1667,150.1667,29
Haiti,Retail,Heated Tobacco,Value,T2,2,5,0.897999949,247.3746,137.5,109.8746
Haiti,E-Commerce,Heated Tobacco,Premium,T3,2,4,0.898000035,288.9186,139,149.9186
Uganda,Retail,Cigarettes,Core,T2,3,3,0.899997231,56.6667,17,39.6667
Venezuela,E-Commerce,Oral Nicotine,Premium,T3,2,11,0.8999988,329.0477,103.7143,225.3334
Zimbabwe,E-Commerce,Cigarettes,Core,T3,3,8,0.899998827,308.3334,92.5,215.8334
Lithuania,Key Accounts,Cigarettes,Premium,T1,3,3,0.899999625,356.6667,107,249.6667
Yemen,Retail,Cigarettes,Value,T2,3,3,0.899999625,166.6667,50,116.6667
Tanzania,Key Accounts,Heated Tobacco,Premium,T1,1,2,0.899999802,151.6667,136.5,15.1667
Kazakhstan,E-Commerce,Oral Nicotine,Premium,T3,3,5,0.899999992,440,132,308
Haiti,Key Accounts,Heated Tobacco,Value,T1,2,12,0.9,88.75,43.5,45.25
Denmark,Key Accounts,Oral Nicotine,Premium,T1,2,6,0.9,141.75,66.5,75.25
Sweden,Key Accounts,Oral Nicotine,Core,T1,2,7,0.9,113,50.7,62.3
Lithuania,Key Accounts,Oral Nicotine,Value,T1,3,12,0.90000001,1149.5833,344.875,804.7083
Yemen,Retail,Heated Tobacco,Premium,T2,3,10,0.900000105,511.6666,153.5,358.1666
Lithuania,Key Accounts,Cigarettes,Value,T1,3,11,0.90000075,47.77774444,14.33333333,33.44441111
Kazakhstan,Retail,Oral Nicotine,Premium,T2,3,11,0.900000776,238.8889,71.6667,167.2222
Venezuela,E-Commerce,Oral Nicotine,Value,T3,2,11,0.90599436,415.33332,146.20002,269.1333
Trinidad and Tobago,Key Accounts,Heated Tobacco,Core,T1,1,4,0.997999784,213.4269,213,0.4269
Trinidad and Tobago,E-Commerce,Heated Tobacco,Value,T3,1,3,0.997999968,99.1984,99,0.1984
Barbados,Key Accounts,Heated Tobacco,Premium,T1,1,6,0.998000101,128.2565,128,0.2565
Martinique,Retail,Heated Tobacco,Premium,T2,1,4,0.998000109,128.507,128.25,0.257
Barbados,Retail,Heated Tobacco,Premium,T2,1,2,0.998000233,212.4248,212,0.4248
Jamaica,Key Accounts,Heated Tobacco,Premium,T1,1,3,0.998000233,212.4248,212,0.4248
Paraguay,E-Commerce,Heated Tobacco,Core,T3,1,3,0.998000385,212.0908,211.6667,0.4241
Portugal,Key Accounts,Cigarettes,Core,T1,2,13,0.999999202,107.0667,53.5333,53.5334
Denmark,Key Accounts,Heated Tobacco,Premium,T1,2,6,0.999999639,360.6667,180.3333,180.3334
Afghanistan,E-Commerce,Cigarettes,Core,T3,1,4,1,11.25,11.25,0
Afghanistan,E-Commerce,Cigarettes,Premium,T3,1,1,1,14,14,0
Afghanistan,E-Commerce,Cigarettes,Value,T3,1,5,1,17.6,17.6,0
Afghanistan,E-Commerce,Oral Nicotine,Core,T3,1,2,1,366,366,0
Afghanistan,E-Commerce,Oral Nicotine,Premium,T3,1,5,1,414,414,0
Afghanistan,E-Commerce,Oral Nicotine,Value,T3,1,4,1,42.5,42.5,0
Afghanistan,Key Accounts,Heated Tobacco,Value,T1,1,6,1,245.1667,245.1667,0
Afghanistan,Key Accounts,Oral Nicotine,Value,T1,1,3,1,44,44,0
Afghanistan,Retail,Heated Tobacco,Core,T2,1,3,1,142.3333,142.3333,0
Afghanistan,Retail,Heated Tobacco,Value,T2,1,6,1,26,26,0
Afghanistan,Retail,Oral Nicotine,Core,T2,1,2,1,110,110,0
Afghanistan,Retail,Oral Nicotine,Premium,T2,1,6,1,69.5,69.5,0
Afghanistan,Retail,Oral Nicotine,Value,T2,1,2,1,42.5,42.5,0
Albania,E-Commerce,Heated Tobacco,Premium,T3,1,4,1,138.5,138.5,0
Albania,Key Accounts,Cigarettes,Premium,T1,1,3,1,20.33333333,20.33333333,0
Albania,Key Accounts,Cigarettes,Value,T1,1,1,1,11,11,0
Albania,Key Accounts,Heated Tobacco,Premium,T1,1,1,1,85,85,0
Albania,Key Accounts,Heated Tobacco,Value,T1,1,10,1,161.9,161.9,0
Albania,Key Accounts,Oral Nicotine,Premium,T1,1,1,1,58,58,0
Albania,Key Accounts,Oral Nicotine,Value,T1,1,1,1,364,364,0
Albania,Retail,Cigarettes,Core,T2,1,4,1,54.75,54.75,0
Albania,Retail,Cigarettes,Premium,T2,1,6,1,29,29,0
Albania,Retail,Cigarettes,Value,T2,1,1,1,19,19,0
Albania,Retail,Heated Tobacco,Premium,T2,1,1,1,182,182,0
Albania,Retail,Oral Nicotine,Premium,T2,1,1,1,414,414,0
Algeria,E-Commerce,Oral Nicotine,Core,T3,1,1,1,116,116,0
Algeria,E-Commerce,Oral Nicotine,Premium,T3,1,2,1,144,144,0
Algeria,E-Commerce,Oral Nicotine,Value,T3,1,1,1,18,18,0
Algeria,Key Accounts,Heated Tobacco,Premium,T1,1,4,1,80.5,80.5,0
Algeria,Key Accounts,Oral Nicotine,Core,T1,1,1,1,147,147,0
Algeria,Key Accounts,Oral Nicotine,Premium,T1,1,4,1,139.75,139.75,0
Algeria,Key Accounts,Oral Nicotine,Value,T1,1,2,1,412,412,0
Algeria,Retail,Heated Tobacco,Core,T2,1,8,1,126,126,0
Angola,E-Commerce,Heated Tobacco,Core,T3,1,8,1,178.375,178.375,0
Angola,E-Commerce,Heated Tobacco,Premium,T3,1,4,1,167,167,0
Angola,E-Commerce,Heated Tobacco,Value,T3,1,2,1,134.5,134.5,0
Angola,E-Commerce,Oral Nicotine,Core,T3,1,1,1,169,169,0
Angola,Key Accounts,Heated Tobacco,Value,T1,1,1,1,167,167,0
Angola,Retail,Heated Tobacco,Premium,T2,1,8,1,183.375,183.375,0
Armenia,Retail,Cigarettes,Premium,T2,1,1,1,20,20,0
Armenia,Retail,Oral Nicotine,Premium,T2,1,1,1,42,42,0
Armenia,Retail,Oral Nicotine,Value,T2,1,1,1,94,94,0
Azerbaijan,Key Accounts,Cigarettes,Value,T1,1,1,1,13,13,0
Azerbaijan,Retail,Cigarettes,Value,T2,1,1,1,8,8,0
Azerbaijan,Retail,Heated Tobacco,Premium,T2,1,1,1,52,52,0
Azerbaijan,Retail,Oral Nicotine,Value,T2,1,4,1,514.5,514.5,0
Bahrain,Key Accounts,Cigarettes,Premium,T1,1,4,1,11,11,0
Bahrain,Key Accounts,Heated Tobacco,Premium,T1,1,2,1,312.5,312.5,0
Bangladesh,E-Commerce,Heated Tobacco,Premium,T3,1,2,1,381.5,381.5,0
Bangladesh,Key Accounts,Heated Tobacco,Core,T1,1,2,1,637.5,637.5,0
Bangladesh,Key Accounts,Heated Tobacco,Premium,T1,1,2,1,136.5,136.5,0
Bangladesh,Key Accounts,Oral Nicotine,Core,T1,1,2,1,166,166,0
Barbados,Key Accounts,Cigarettes,Premium,T1,1,5,1,33.6,33.6,0
Barbados,Key Accounts,Cigarettes,Value,T1,1,7,1,33.5714,33.5714,0
Barbados,Key Accounts,Oral Nicotine,Value,T1,1,2,1,38.5,38.5,0
Barbados,Retail,Cigarettes,Value,T2,1,3,1,59.33333333,59.33333333,0
Belarus,E-Commerce,Oral Nicotine,Premium,T3,1,1,1,172,172,0
Belarus,Key Accounts,Cigarettes,Value,T1,1,1,1,32,32,0
Belarus,Key Accounts,Heated Tobacco,Core,T1,1,1,1,50,50,0
Belarus,Retail,Heated Tobacco,Premium,T2,1,1,1,170,170,0
Belarus,Retail,Heated Tobacco,Value,T2,1,1,1,301,301,0
Belarus,Retail,Oral Nicotine,Core,T2,1,1,1,88,88,0
Belgium,E-Commerce,Oral Nicotine,Premium,T3,1,3,1,84.3333,84.3333,0
Belgium,E-Commerce,Oral Nicotine,Value,T3,1,6,1,124.5,124.5,0
Belgium,Retail,Heated Tobacco,Value,T2,1,8,1,166.875,166.875,0
Belgium,Retail,Oral Nicotine,Premium,T2,1,3,1,124.3333,124.3333,0
Benin,E-Commerce,Cigarettes,Value,T3,1,1,1,39,39,0
Benin,Key Accounts,Heated Tobacco,Premium,T1,1,2,1,152.5,152.5,0
Benin,Key Accounts,Heated Tobacco,Value,T1,1,2,1,243.5,243.5,0
Benin,Key Accounts,Oral Nicotine,Premium,T1,1,2,1,252,252,0
Benin,Retail,Cigarettes,Value,T2,1,1,1,20,20,0
Bolivia,E-Commerce,Cigarettes,Value,T3,1,2,1,26.5,26.5,0
Bolivia,E-Commerce,Oral Nicotine,Core,T3,1,4,1,97.25,97.25,0
Bolivia,Key Accounts,Cigarettes,Core,T1,1,4,1,350.5,350.5,0
Bolivia,Key Accounts,Oral Nicotine,Premium,T1,1,1,1,114,114,0
Bolivia,Retail,Heated Tobacco,Core,T2,1,9,1,55.3333,55.3333,0
Bolivia,Retail,Heated Tobacco,Value,T2,1,5,1,77.2,77.2,0
Bosnia and Herzegovina,Key Accounts,Oral Nicotine,Core,T1,1,8,1,43.625,43.625,0
Bosnia and Herzegovina,Retail,Cigarettes,Premium,T2,1,3,1,31.33333333,31.33333333,0
Bosnia and Herzegovina,Retail,Heated Tobacco,Core,T2,1,1,1,104,104,0
Bosnia and Herzegovina,Retail,Heated Tobacco,Premium,T2,1,1,1,262,262,0
Bulgaria,E-Commerce,Cigarettes,Value,T3,1,2,1,40,40,0
Bulgaria,E-Commerce,Oral Nicotine,Core,T3,1,1,1,48,48,0
Bulgaria,Key Accounts,Cigarettes,Core,T1,1,1,1,4,4,0
Bulgaria,Key Accounts,Heated Tobacco,Value,T1,1,1,1,75,75,0
Bulgaria,Key Accounts,Oral Nicotine,Core,T1,1,1,1,250,250,0
Bulgaria,Key Accounts,Oral Nicotine,Value,T1,1,2,1,196,196,0
Bulgaria,Retail,Heated Tobacco,Value,T2,1,4,1,171,171,0
Bulgaria,Retail,Oral Nicotine,Core,T2,1,1,1,59,59,0
Burundi,Retail,Oral Nicotine,Core,T2,1,2,1,108.5,108.5,0
Burundi,Retail,Oral Nicotine,Premium,T2,1,2,1,25.5,25.5,0
Cambodia,E-Commerce,Cigarettes,Core,T3,1,2,1,11.5,11.5,0
Cambodia,E-Commerce,Cigarettes,Premium,T3,1,6,1,14.6667,14.6667,0
Cambodia,E-Commerce,Cigarettes,Value,T3,1,5,1,15.2,15.2,0
Cambodia,E-Commerce,Heated Tobacco,Value,T3,1,3,1,300,300,0
Cambodia,E-Commerce,Oral Nicotine,Premium,T3,1,5,1,18.6,18.6,0
Cambodia,E-Commerce,Oral Nicotine,Value,T3,1,3,1,443.3333,443.3333,0
Cambodia,Key Accounts,Cigarettes,Value,T1,1,2,1,24.5,24.5,0
Cambodia,Key Accounts,Heated Tobacco,Value,T1,1,2,1,320,320,0
Cambodia,Retail,Oral Nicotine,Core,T2,1,4,1,389.75,389.75,0
Cambodia,Retail,Oral Nicotine,Value,T2,1,1,1,122,122,0
Cameroon,E-Commerce,Oral Nicotine,Core,T3,1,1,1,167,167,0
Cameroon,Key Accounts,Heated Tobacco,Premium,T1,1,1,1,137,137,0
Cameroon,Key Accounts,Oral Nicotine,Core,T1,1,1,1,480,480,0
Cameroon,Key Accounts,Oral Nicotine,Value,T1,1,1,1,465,465,0
Canada,E-Commerce,Oral Nicotine,Core,T3,1,6,1,124,124,0
Central African Republic,Key Accounts,Cigarettes,Core,T1,1,2,1,500,500,0
Central African Republic,Key Accounts,Cigarettes,Premium,T1,1,2,1,38,38,0
Central African Republic,Key Accounts,Cigarettes,Value,T1,1,1,1,23,23,0
Central African Republic,Key Accounts,Heated Tobacco,Value,T1,1,1,1,176,176,0
Central African Republic,Retail,Cigarettes,Premium,T2,1,1,1,49,49,0
Central African Republic,Retail,Cigarettes,Value,T2,1,4,1,19,19,0
Central African Republic,Retail,Heated Tobacco,Core,T2,1,4,1,244,244,0
Chad,E-Commerce,Cigarettes,Premium,T3,1,11,1,119.7272727,119.7272727,0
Chile,E-Commerce,Oral Nicotine,Value,T3,1,3,1,82.3333,82.3333,0
Chile,Key Accounts,Heated Tobacco,Premium,T1,1,4,1,171,171,0
Chile,Key Accounts,Oral Nicotine,Value,T1,1,8,1,82.25,82.25,0
Cote d'Ivoire,E-Commerce,Heated Tobacco,Core,T3,1,1,1,30,30,0
Cote d'Ivoire,E-Commerce,Heated Tobacco,Premium,T3,1,4,1,313.5,313.5,0
Cote d'Ivoire,E-Commerce,Heated Tobacco,Value,T3,1,1,1,122,122,0
Cote d'Ivoire,E-Commerce,Oral Nicotine,Premium,T3,1,1,1,391,391,0
Cote d'Ivoire,Key Accounts,Oral Nicotine,Value,T1,1,4,1,57.25,57.25,0
Cote d'Ivoire,Retail,Oral Nicotine,Premium,T2,1,1,1,147,147,0
Croatia,E-Commerce,Cigarettes,Core,T3,1,2,1,51,51,0
Croatia,E-Commerce,Cigarettes,Premium,T3,1,6,1,50.1667,50.1667,0
Croatia,E-Commerce,Cigarettes,Value,T3,1,1,1,30,30,0
Croatia,Key Accounts,Heated Tobacco,Value,T1,1,10,1,86.2,86.2,0
Croatia,Key Accounts,Oral Nicotine,Premium,T1,1,1,1,52,52,0
Croatia,Retail,Heated Tobacco,Premium,T2,1,2,1,136.5,136.5,0
Croatia,Retail,Oral Nicotine,Core,T2,1,1,1,25,25,0
Croatia,Retail,Oral Nicotine,Value,T2,1,2,1,412.5,412.5,0
Czech Republic,E-Commerce,Oral Nicotine,Value,T3,1,8,1,110.125,110.125,0
Czech Republic,Key Accounts,Oral Nicotine,Premium,T1,1,6,1,26.5,26.5,0
Czech Republic,Retail,Heated Tobacco,Premium,T2,1,1,1,175,175,0
Czech Republic,Retail,Heated Tobacco,Value,T2,1,1,1,88,88,0
Democratic Republic of the Congo,Key Accounts,Oral Nicotine,Core,T1,1,1,1,25,25,0
Denmark,Retail,Heated Tobacco,Value,T2,2,6,1,198,99,99
Djibouti,E-Commerce,Cigarettes,Value,T3,1,4,1,206.5,206.5,0
Djibouti,E-Commerce,Heated Tobacco,Value,T3,1,1,1,309,309,0
Djibouti,E-Commerce,Oral Nicotine,Premium,T3,1,8,1,72.125,72.125,0
