operating_country,channel_name,weeks,shipments_units,gross_revenue,total_trade_spend,net_revenue_after_trade,trade_spend_pct_calc,trade_spend_per_unit,net_rev_per_unit
Colombia,E-Commerce,60,249,17063,4.13,17058.87,2.42E-04,0.016586345,68.50951807
Barbados,Key Accounts,8,28,2261,3.26,2257.74,0.00144184,0.116428571,80.63357143
Cuba,E-Commerce,111,490,21936,2.8,21933.2,1.28E-04,0.005714286,44.76163265
Barbados,Retail,13,42,4724,2.62,4721.38,5.55E-04,0.062380952,112.4138095
Jamaica,Key Accounts,14,44,1968,1.27,1966.73,6.45E-04,0.028863636,44.69840909
Paraguay,E-Commerce,3,15,740,1.27,738.73,0.001716216,0.084666667,49.24866667
Martinique,Retail,14,84,2262,1.03,2260.97,4.55E-04,0.012261905,26.91630952
Chile,Key Accounts,30,141,10278,0.96,10277.04,9.34E-05,0.006808511,72.88680851
Afghanistan,E-Commerce,8,26,3580,0,3580,0,0,137.6923077
Afghanistan,Key Accounts,27,132,14504,0,14504,0,0,109.8787879
Afghanistan,Retail,14,70,3590,0,3590,0,0,51.28571429
Albania,E-Commerce,1,4,554,0,554,0,0,138.5
Albania,Key Accounts,8,23,2326,0,2326,0,0,101.1304348
Albania,Retail,5,13,1008,0,1008,0,0,77.53846154
Algeria,E-Commerce,35,96,7956,0,7956,0,0,82.875
Algeria,Key Accounts,41,128,8303,0,8303,0,0,64.8671875
Algeria,Retail,76,230,19831,0,19831,0,0,86.22173913
Angola,E-Commerce,14,51,4237,0,4237,0,0,83.07843137
Angola,Key Accounts,25,59,2839,0,2839,0,0,48.11864407
Angola,Retail,64,207,18475,0,18475,0,0,89.25120773
Armenia,Retail,3,3,156,0,156,0,0,52
Austria,E-Commerce,54,256,18553,0,18553,0,0,72.47265625
Austria,Key Accounts,87,329,26580,0,26580,0,0,80.79027356
Austria,Retail,132,563,47410,0,47410,0,0,84.20959147
Azerbaijan,Key Accounts,17,30,2768,0,2768,0,0,92.26666667
Azerbaijan,Retail,10,24,2862,0,2862,0,0,119.25
Bahrain,Key Accounts,2,6,669,0,669,0,0,111.5
Bangladesh,E-Commerce,24,98,9843,0,9843,0,0,100.4387755
Bangladesh,Key Accounts,35,198,28457,0,28457,0,0,143.7222222
Bangladesh,Retail,75,384,39954,0,39954,0,0,104.046875
Barbados,E-Commerce,2,6,190,0,190,0,0,31.66666667
Belarus,E-Commerce,14,39,4787,0,4787,0,0,122.7435897
Belarus,Key Accounts,12,43,2627,0,2627,0,0,61.09302326
Belarus,Retail,42,96,5976,0,5976,0,0,62.25
Belgium,E-Commerce,20,98,8510,0,8510,0,0,86.83673469
Belgium,Key Accounts,55,225,15804,0,15804,0,0,70.24
Belgium,Retail,51,252,24919,0,24919,0,0,98.88492063
Benin,E-Commerce,1,1,39,0,39,0,0,39
Benin,Key Accounts,18,36,2639,0,2639,0,0,73.30555556
Benin,Retail,11,29,3537,0,3537,0,0,121.9655172
Bolivia,Key Accounts,4,9,1579,0,1579,0,0,175.4444444
Bolivia,Retail,27,112,6035,0,6035,0,0,53.88392857
Bosnia and Herzegovina,E-Commerce,5,23,622,0,622,0,0,27.04347826
Bosnia and Herzegovina,Key Accounts,1,8,349,0,349,0,0,43.625
Bosnia and Herzegovina,Retail,7,19,1629,0,1629,0,0,85.73684211
Bulgaria,E-Commerce,10,30,2743,0,2743,0,0,91.43333333
Bulgaria,Key Accounts,11,15,1919,0,1919,0,0,127.9333333
Bulgaria,Retail,45,129,10898,0,10898,0,0,84.48062016
Burundi,Retail,2,4,268,0,268,0,0,67
Cambodia,E-Commerce,6,24,2510,0,2510,0,0,104.5833333
Cambodia,Key Accounts,10,33,2904,0,2904,0,0,88
Cambodia,Retail,24,97,12062,0,12062,0,0,124.3505155
Cameroon,E-Commerce,21,49,4860,0,4860,0,0,99.18367347
Cameroon,Key Accounts,34,70,4496,0,4496,0,0,64.22857143
Cameroon,Retail,46,109,12999,0,12999,0,0,119.2568807
Canada,E-Commerce,55,156,11896,0,11896,0,0,76.25641026
Canada,Key Accounts,90,223,19319,0,19319,0,0,86.632287
Canada,Retail,164,454,35717,0,35717,0,0,78.67180617
Central African Republic,Key Accounts,4,6,1275,0,1275,0,0,212.5
Central African Republic,Retail,3,9,1101,0,1101,0,0,122.3333333
Chad,E-Commerce,1,11,1317,0,1317,0,0,119.7272727
Cote d'Ivoire,E-Commerce,21,57,5277,0,5277,0,0,92.57894737
Cote d'Ivoire,Key Accounts,26,67,6261,0,6261,0,0,93.44776119
Cote d'Ivoire,Retail,43,123,14077,0,14077,0,0,114.4471545
Croatia,E-Commerce,3,9,433,0,433,0,0,48.11111111
Croatia,Key Accounts,11,34,1741,0,1741,0,0,51.20588235
Croatia,Retail,15,47,2289,0,2289,0,0,48.70212766
Czech Republic,E-Commerce,14,59,3508,0,3508,0,0,59.45762712
Czech Republic,Key Accounts,16,41,1829,0,1829,0,0,44.6097561
Czech Republic,Retail,28,64,4242,0,4242,0,0,66.28125
Democratic Republic of the Congo,E-Commerce,62,164,14228,0,14228,0,0,86.75609756
Democratic Republic of the Congo,Key Accounts,77,194,15529,0,15529,0,0,80.04639175
Democratic Republic of the Congo,Retail,174,545,57658,0,57658,0,0,105.7944954
Djibouti,E-Commerce,3,13,1712,0,1712,0,0,131.6923077
Djibouti,Key Accounts,3,10,418,0,418,0,0,41.8
Djibouti,Retail,4,8,264,0,264,0,0,33
Egypt,E-Commerce,77,217,18724,0,18724,0,0,86.28571429
Egypt,Key Accounts,98,273,18832,0,18832,0,0,68.98168498
Egypt,Retail,214,633,46581,0,46581,0,0,73.58767773
Equatorial Guinea,Retail,3,3,150,0,150,0,0,50
Eritrea,Key Accounts,2,4,188,0,188,0,0,47
Estonia,Key Accounts,11,19,2997,0,2997,0,0,157.7368421
Estonia,Retail,2,5,1482,0,1482,0,0,296.4
Ethiopia,E-Commerce,2,2,138,0,138,0,0,69
Ethiopia,Key Accounts,1,5,252,0,252,0,0,50.4
Ethiopia,Retail,3,11,460,0,460,0,0,41.81818182
Finland,E-Commerce,7,27,2410,0,2410,0,0,89.25925926
Finland,Key Accounts,14,55,3019,0,3019,0,0,54.89090909
Finland,Retail,33,119,15273,0,15273,0,0,128.3445378
Gabon,Key Accounts,3,7,377,0,377,0,0,53.85714286
Gabon,Retail,5,39,1375,0,1375,0,0,35.25641026
Georgia,E-Commerce,3,5,104,0,104,0,0,20.8
Georgia,Key Accounts,9,27,800,0,800,0,0,29.62962963
Georgia,Retail,18,49,4524,0,4524,0,0,92.32653061
Ghana,E-Commerce,16,52,2806,0,2806,0,0,53.96153846
Ghana,Key Accounts,24,62,4045,0,4045,0,0,65.24193548
Ghana,Retail,51,150,16421,0,16421,0,0,109.4733333
Guadeloupe,E-Commerce,5,16,1088,0,1088,0,0,68
Guadeloupe,Retail,3,8,374,0,374,0,0,46.75
Guinea,E-Commerce,1,1,198,0,198,0,0,198
Guinea,Key Accounts,4,5,917,0,917,0,0,183.4
Guinea,Retail,9,26,2383,0,2383,0,0,91.65384615
Guinea-Bissau,E-Commerce,6,9,892,0,892,0,0,99.11111111
Guinea-Bissau,Retail,3,4,1173,0,1173,0,0,293.25
Hong Kong,E-Commerce,4,14,2365,0,2365,0,0,168.9285714
Hong Kong,Key Accounts,1,7,372,0,372,0,0,53.14285714
Hong Kong,Retail,11,49,3411,0,3411,0,0,69.6122449
Hungary,E-Commerce,13,47,3935,0,3935,0,0,83.72340426
Hungary,Key Accounts,16,56,6577,0,6577,0,0,117.4464286
Hungary,Retail,26,71,3742,0,3742,0,0,52.70422535
Iran,E-Commerce,78,217,17984,0,17984,0,0,82.87557604
Iran,Key Accounts,158,420,33749,0,33749,0,0,80.3547619
Iran,Retail,247,757,62017,0,62017,0,0,81.92470277
Iraq,E-Commerce,59,143,9612,0,9612,0,0,67.21678322
Iraq,Key Accounts,93,255,19519,0,19519,0,0,76.54509804
Iraq,Retail,172,460,41599,0,41599,0,0,90.4326087
Israel,E-Commerce,13,40,4903,0,4903,0,0,122.575
Israel,Key Accounts,33,90,7903,0,7903,0,0,87.81111111
Israel,Retail,43,95,6488,0,6488,0,0,68.29473684
Jamaica,E-Commerce,5,24,1839,0,1839,0,0,76.625
Jamaica,Retail,11,44,2955,0,2955,0,0,67.15909091
Jordan,E-Commerce,6,17,1150,0,1150,0,0,67.64705882
Jordan,Key Accounts,7,25,893,0,893,0,0,35.72
Jordan,Retail,20,64,5282,0,5282,0,0,82.53125
Kenya,E-Commerce,19,77,3961,0,3961,0,0,51.44155844
Kenya,Key Accounts,22,41,3781,0,3781,0,0,92.2195122
Kenya,Retail,44,106,9827,0,9827,0,0,92.70754717
Kyrgyzstan,E-Commerce,12,34,1969,0,1969,0,0,57.91176471
Kyrgyzstan,Key Accounts,3,5,391,0,391,0,0,78.2
Kyrgyzstan,Retail,17,40,2743,0,2743,0,0,68.575
Lebanon,E-Commerce,3,3,661,0,661,0,0,220.3333333
Lebanon,Key Accounts,2,2,200,0,200,0,0,100
Lebanon,Retail,7,13,1936,0,1936,0,0,148.9230769
Lesotho,Key Accounts,5,23,6712,0,6712,0,0,291.826087
Liberia,E-Commerce,6,18,736,0,736,0,0,40.88888889
Liberia,Key Accounts,6,14,1347,0,1347,0,0,96.21428571
Liberia,Retail,2,5,1478,0,1478,0,0,295.6
Libya,E-Commerce,5,14,785,0,785,0,0,56.07142857
Libya,Key Accounts,12,50,5042,0,5042,0,0,100.84
Libya,Retail,15,39,1982,0,1982,0,0,50.82051282
Macedonia,E-Commerce,1,1,11,0,11,0,0,11
Macedonia,Retail,3,5,199,0,199,0,0,39.8
Madagascar,E-Commerce,10,23,2799,0,2799,0,0,121.6956522
Madagascar,Key Accounts,17,48,4826,0,4826,0,0,100.5416667
Madagascar,Retail,23,71,4993,0,4993,0,0,70.32394366
Malaysia,E-Commerce,29,125,9762,0,9762,0,0,78.096
Malaysia,Key Accounts,46,194,16376,0,16376,0,0,84.41237113
Malaysia,Retail,76,357,35225,0,35225,0,0,98.66946779
Mali,E-Commerce,7,14,1285,0,1285,0,0,91.78571429
Mali,Key Accounts,8,13,2611,0,2611,0,0,200.8461538
Mali,Retail,21,53,5019,0,5019,0,0,94.69811321
Martinique,E-Commerce,2,10,1155,0,1155,0,0,115.5
Martinique,Key Accounts,4,28,2551,0,2551,0,0,91.10714286
Mauritania,E-Commerce,2,9,1634,0,1634,0,0,181.5555556
Mauritania,Key Accounts,1,2,899,0,899,0,0,449.5
Mauritania,Retail,6,18,1487,0,1487,0,0,82.61111111
Moldova,E-Commerce,9,16,851,0,851,0,0,53.1875
Moldova,Key Accounts,9,29,977,0,977,0,0,33.68965517
Moldova,Retail,17,50,3311,0,3311,0,0,66.22
Mongolia,E-Commerce,4,14,672,0,672,0,0,48
Mongolia,Key Accounts,15,52,5933,0,5933,0,0,114.0961538
Montenegro,Key Accounts,2,12,3993,0,3993,0,0,332.75
Montenegro,Retail,1,1,11,0,11,0,0,11
Morocco,E-Commerce,75,238,22103,0,22103,0,0,92.8697479
Morocco,Key Accounts,107,285,27371,0,27371,0,0,96.03859649
Morocco,Retail,180,500,37605,0,37605,0,0,75.21
Mozambique,E-Commerce,20,42,3451,0,3451,0,0,82.16666667
Mozambique,Key Accounts,23,78,7450,0,7450,0,0,95.51282051
Mozambique,Retail,41,111,10401,0,10401,0,0,93.7027027
Namibia,Key Accounts,3,19,558,0,558,0,0,29.36842105
Namibia,Retail,4,11,2341,0,2341,0,0,212.8181818
Nepal,E-Commerce,1,4,59,0,59,0,0,14.75
Nepal,Key Accounts,6,21,1397,0,1397,0,0,66.52380952
Nepal,Retail,9,44,2066,0,2066,0,0,46.95454545
Niger,E-Commerce,9,42,3414,0,3414,0,0,81.28571429
Niger,Key Accounts,7,19,831,0,831,0,0,43.73684211
Niger,Retail,16,42,2678,0,2678,0,0,63.76190476
Norway,E-Commerce,7,39,1740,0,1740,0,0,44.61538462
Norway,Key Accounts,22,95,10764,0,10764,0,0,113.3052632
Norway,Retail,31,127,8025,0,8025,0,0,63.18897638
Paraguay,Key Accounts,2,11,416,0,416,0,0,37.81818182
Paraguay,Retail,6,25,1435,0,1435,0,0,57.4
Poland,E-Commerce,45,131,12482,0,12482,0,0,95.28244275
Poland,Key Accounts,62,153,14209,0,14209,0,0,92.86928105
Poland,Retail,100,279,17536,0,17536,0,0,62.85304659
Qatar,E-Commerce,2,7,188,0,188,0,0,26.85714286
Qatar,Key Accounts,4,15,1060,0,1060,0,0,70.66666667
Qatar,Retail,8,25,4802,0,4802,0,0,192.08
Republic of the Congo,Key Accounts,2,2,374,0,374,0,0,187
Republic of the Congo,Retail,3,28,2340,0,2340,0,0,83.57142857
Romania,E-Commerce,28,79,7353,0,7353,0,0,93.07594937
Romania,Key Accounts,54,132,13121,0,13121,0,0,99.40151515
Romania,Retail,67,165,16785,0,16785,0,0,101.7272727
Russia,E-Commerce,59,160,18966,0,18966,0,0,118.5375
Russia,Key Accounts,106,305,23617,0,23617,0,0,77.43278689
Russia,Retail,149,452,40332,0,40332,0,0,89.2300885
Rwanda,E-Commerce,2,3,129,0,129,0,0,43
Rwanda,Key Accounts,13,39,1605,0,1605,0,0,41.15384615
Rwanda,Retail,16,46,3463,0,3463,0,0,75.2826087
Saudi Arabia,E-Commerce,59,191,17849,0,17849,0,0,93.45026178
Saudi Arabia,Key Accounts,100,279,21824,0,21824,0,0,78.22222222
Saudi Arabia,Retail,130,383,42333,0,42333,0,0,110.5300261
Senegal,E-Commerce,10,17,1130,0,1130,0,0,66.47058824
Senegal,Key Accounts,24,71,9920,0,9920,0,0,139.7183099
Senegal,Retail,59,170,17800,0,17800,0,0,104.7058824
