shipment_fact_id,date_week_id,country_id.x,region_id,product_id,wholesaler_id,channel_id,shipment_volume,sell_in_revenue,trade_incentive_pct,contribution_margin_proxy,list_price,net_invoice_price,price_change_flag,price_strategy,incentive_type,incentive_pct,incentive_amount,compliance_flag,product_variant_name,pmi_product_family,pmi_product_category,brand_tier,pack_size,nicotine_format,operating_country,macro_region,channel_name,fiscal_year,fiscal_week,fiscal_quarter,month,week_start_date,week_end_date,wholesaler_name,wholesaler_tier,country_id.y,primary_channel_id,net_unit_price,list_unit_price,discount_rate,trade_spend_amount,price_realization_pct,revenue_net_of_trade
16,201215,64,1,OFF-PA-10003127,385,1,2,53,0,24.27,26.5,26.5,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-408060,Cigarettes,Combustible,Premium,30-pack,Combustible,United States,US,Retail,2012,15,2,4,2012-04-09,2012-04-15,WH-United States-Retail-2602,T2,64,1,26.5,26.5,0,0,1,53
17,201225,64,1,OFF-PA-10004355,385,1,1,6,0,3.11,6,6,0,Value Drive,Price Support,0,0,1,CIG-VAR-235694,Cigarettes,Combustible,Value,30-pack,Combustible,United States,US,Retail,2012,25,2,6,2012-06-18,2012-06-24,WH-United States-Retail-2602,T2,64,1,6,6,0,0,1,6
18,201235,64,1,OFF-PA-10003441,385,1,9,58,0,27.99,6.4444,6.4444,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-121596,Cigarettes,Combustible,Premium,30-pack,Combustible,United States,US,Retail,2012,35,3,8,2012-08-27,2012-09-02,WH-United States-Retail-2602,T2,64,1,6.4444,6.4444,0,0,1,58
19,201247,64,1,OFF-PA-10000176,385,1,2,38,0,18.21,19,19,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-815871,Cigarettes,Combustible,Premium,Multi-pack,Combustible,United States,US,Retail,2012,47,4,11,2012-11-19,2012-11-25,WH-United States-Retail-2602,T2,64,1,19,19,0,0,1,38
20,201247,64,1,OFF-PA-10000327,385,1,10,43,0,19.26,4.3,4.3,0,Value Drive,Price Support,0,0,1,CIG-VAR-000053,Cigarettes,Combustible,Value,30-pack,Combustible,United States,US,Retail,2012,47,4,11,2012-11-19,2012-11-25,WH-United States-Retail-2602,T2,64,1,4.3,4.3,0,0,1,43
21,201247,64,1,OFF-PA-10000675,385,1,9,369,0,180.77,41,41,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-614155,Cigarettes,Combustible,Core,10-pack,Combustible,United States,US,Retail,2012,47,4,11,2012-11-19,2012-11-25,WH-United States-Retail-2602,T2,64,1,41,41,0,0,1,369
22,201247,64,1,OFF-PA-10002005,385,1,3,19,0,9.33,6.3333,6.3333,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-849927,Cigarettes,Combustible,Premium,30-pack,Combustible,United States,US,Retail,2012,47,4,11,2012-11-19,2012-11-25,WH-United States-Retail-2602,T2,64,1,6.3333,6.3333,0,0,1,19
23,201247,64,1,OFF-PA-10003892,385,1,3,147,0,68.96,49,49,0,Value Drive,Price Support,0,0,1,CIG-VAR-258284,Cigarettes,Combustible,Value,20-pack,Combustible,United States,US,Retail,2012,47,4,11,2012-11-19,2012-11-25,WH-United States-Retail-2602,T2,64,1,49,49,0,0,1,147
24,201251,64,1,OFF-PA-10004947,385,1,4,17,0,7.7,4.25,4.25,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-823309,Cigarettes,Combustible,Core,20-pack,Combustible,United States,US,Retail,2012,51,4,12,2012-12-17,2012-12-23,WH-United States-Retail-2602,T2,64,1,4.25,4.25,0,0,1,17
25,201253,64,1,OFF-PA-10000595,385,1,3,69,0,31.52,23,23,0,Value Drive,Price Support,0,0,1,CIG-VAR-289568,Cigarettes,Combustible,Value,Multi-pack,Combustible,United States,US,Retail,2012,53,5,12,2012-12-31,2013-01-06,WH-United States-Retail-2602,T2,64,1,23,23,0,0,1,69
26,201311,64,1,OFF-PA-10004022,385,1,2,20,0,8.99,10,10,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-825789,Cigarettes,Combustible,Premium,Multi-pack,Combustible,United States,US,Retail,2013,11,1,3,2013-03-18,2013-03-24,WH-United States-Retail-2602,T2,64,1,10,10,0,0,1,20
27,201313,64,1,OFF-PA-10001243,385,1,1,6,0,2.93,6,6,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-114184,Cigarettes,Combustible,Core,Multi-pack,Combustible,United States,US,Retail,2013,13,1,4,2013-04-01,2013-04-07,WH-United States-Retail-2602,T2,64,1,6,6,0,0,1,6
28,201315,64,1,OFF-PA-10002947,385,1,3,20,0,9.62,6.6667,6.6667,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-686407,Cigarettes,Combustible,Core,20-pack,Combustible,United States,US,Retail,2013,15,2,4,2013-04-15,2013-04-21,WH-United States-Retail-2602,T2,64,1,6.6667,6.6667,0,0,1,20
29,201315,64,1,OFF-PA-10000019,385,1,2,13,0,6.22,6.5,6.5,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-873298,Cigarettes,Combustible,Core,Multi-pack,Combustible,United States,US,Retail,2013,15,2,4,2013-04-15,2013-04-21,WH-United States-Retail-2602,T2,64,1,6.5,6.5,0,0,1,13
30,201315,64,1,OFF-PA-10000809,385,1,3,19,0,9.33,6.3333,6.3333,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-427075,Cigarettes,Combustible,Core,30-pack,Combustible,United States,US,Retail,2013,15,2,4,2013-04-15,2013-04-21,WH-United States-Retail-2602,T2,64,1,6.3333,6.3333,0,0,1,19
31,201316,64,1,OFF-PA-10002377,385,1,4,23,0,10.22,5.75,5.75,0,Value Drive,Price Support,0,0,1,CIG-VAR-319241,Cigarettes,Combustible,Value,10-pack,Combustible,United States,US,Retail,2013,16,2,4,2013-04-22,2013-04-28,WH-United States-Retail-2602,T2,64,1,5.75,5.75,0,0,1,23
32,201319,64,1,OFF-PA-10002751,385,1,3,18,0,8.07,6,6,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-649041,Cigarettes,Combustible,Premium,Multi-pack,Combustible,United States,US,Retail,2013,19,2,5,2013-05-13,2013-05-19,WH-United States-Retail-2602,T2,64,1,6,6,0,0,1,18
33,201320,64,1,OFF-PA-10002751,385,1,1,6,0,2.69,6,6,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-649041,Cigarettes,Combustible,Premium,Multi-pack,Combustible,United States,US,Retail,2013,20,2,5,2013-05-20,2013-05-26,WH-United States-Retail-2602,T2,64,1,6,6,0,0,1,6
34,201320,64,1,OFF-PA-10004971,385,1,3,17,0,8.5,5.6667,5.6667,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-333802,Cigarettes,Combustible,Core,Multi-pack,Combustible,United States,US,Retail,2013,20,2,5,2013-05-20,2013-05-26,WH-United States-Retail-2602,T2,64,1,5.6667,5.6667,0,0,1,17
35,201322,64,1,OFF-PA-10000575,385,1,2,13,0,6.15,6.5,6.5,0,Value Drive,Price Support,0,0,1,CIG-VAR-039935,Cigarettes,Combustible,Value,20-pack,Combustible,United States,US,Retail,2013,22,2,6,2013-06-03,2013-06-09,WH-United States-Retail-2602,T2,64,1,6.5,6.5,0,0,1,13
36,201322,64,1,OFF-PA-10003790,385,1,8,183,0,84.05,22.875,22.875,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-212347,Cigarettes,Combustible,Core,10-pack,Combustible,United States,US,Retail,2013,22,2,6,2013-06-03,2013-06-09,WH-United States-Retail-2602,T2,64,1,22.875,22.875,0,0,1,183
37,201324,64,1,OFF-PA-10003441,385,1,5,32,0,15.55,6.4,6.4,1,Premium Hold,Display Allowance,0,0,1,CIG-VAR-121596,Cigarettes,Combustible,Premium,30-pack,Combustible,United States,US,Retail,2013,24,2,6,2013-06-17,2013-06-23,WH-United States-Retail-2602,T2,64,1,6.4,6.4,0,0,1,32
38,201325,64,1,OFF-PA-10001776,385,1,5,46,0,21.78,9.2,9.2,0,Value Drive,Price Support,0,0,1,CIG-VAR-230597,Cigarettes,Combustible,Value,10-pack,Combustible,United States,US,Retail,2013,25,2,6,2013-06-24,2013-06-30,WH-United States-Retail-2602,T2,64,1,9.2,9.2,0,0,1,46
39,201325,64,1,OFF-PA-10001497,385,1,4,220,0,107.72,55,55,0,Value Drive,Price Support,0,0,1,CIG-VAR-742463,Cigarettes,Combustible,Value,20-pack,Combustible,United States,US,Retail,2013,25,2,6,2013-06-24,2013-06-30,WH-United States-Retail-2602,T2,64,1,55,55,0,0,1,220
40,201327,64,1,OFF-PA-10000552,385,1,2,13,0,6.22,6.5,6.5,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-971302,Cigarettes,Combustible,Core,10-pack,Combustible,United States,US,Retail,2013,27,3,7,2013-07-08,2013-07-14,WH-United States-Retail-2602,T2,64,1,6.5,6.5,0,0,1,13
41,201328,64,1,OFF-PA-10002923,385,1,1,49,0,24.47,49,49,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-044965,Cigarettes,Combustible,Core,30-pack,Combustible,United States,US,Retail,2013,28,3,7,2013-07-15,2013-07-21,WH-United States-Retail-2602,T2,64,1,49,49,0,0,1,49
42,201333,64,1,OFF-PA-10000551,385,1,3,16,0,7.61,5.3333,5.3333,0,Value Drive,Price Support,0,0,1,CIG-VAR-372995,Cigarettes,Combustible,Value,30-pack,Combustible,United States,US,Retail,2013,33,3,8,2013-08-19,2013-08-25,WH-United States-Retail-2602,T2,64,1,5.3333,5.3333,0,0,1,16
43,201333,64,1,OFF-PA-10004911,385,1,4,38,0,18.01,9.5,9.5,0,Value Drive,Price Support,0,0,1,CIG-VAR-627569,Cigarettes,Combustible,Value,20-pack,Combustible,United States,US,Retail,2013,33,3,8,2013-08-19,2013-08-25,WH-United States-Retail-2602,T2,64,1,9.5,9.5,0,0,1,38
44,201340,64,1,OFF-PA-10000176,385,1,1,19,0,9.11,19,19,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-815871,Cigarettes,Combustible,Premium,Multi-pack,Combustible,United States,US,Retail,2013,40,4,10,2013-10-07,2013-10-13,WH-United States-Retail-2602,T2,64,1,19,19,0,0,1,19
45,201341,64,1,OFF-PA-10000143,385,1,2,11,0,5.07,5.5,5.5,0,Value Drive,Price Support,0,0,1,CIG-VAR-126017,Cigarettes,Combustible,Value,Multi-pack,Combustible,United States,US,Retail,2013,41,4,10,2013-10-14,2013-10-20,WH-United States-Retail-2602,T2,64,1,5.5,5.5,0,0,1,11
46,201341,64,1,OFF-PA-10000167,385,1,2,62,0,27.88,31,31,0,Value Drive,Price Support,0,0,1,CIG-VAR-277028,Cigarettes,Combustible,Value,10-pack,Combustible,United States,US,Retail,2013,41,4,10,2013-10-14,2013-10-20,WH-United States-Retail-2602,T2,64,1,31,31,0,0,1,62
47,201345,64,1,OFF-PA-10004359,385,1,3,315,0,150.98,105,105,0,Value Drive,Price Support,0,0,1,CIG-VAR-240134,Cigarettes,Combustible,Value,20-pack,Combustible,United States,US,Retail,2013,45,4,11,2013-11-11,2013-11-17,WH-United States-Retail-2602,T2,64,1,105,105,0,0,1,315
48,201345,64,1,OFF-PA-10001725,385,1,3,116,0,56.98,38.6667,38.6667,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-983895,Cigarettes,Combustible,Premium,Multi-pack,Combustible,United States,US,Retail,2013,45,4,11,2013-11-11,2013-11-17,WH-United States-Retail-2602,T2,64,1,38.6667,38.6667,0,0,1,116
49,201345,64,1,OFF-PA-10000477,385,1,3,19,0,9.33,6.3333,6.3333,0,Value Drive,Price Support,0,0,1,CIG-VAR-605657,Cigarettes,Combustible,Value,30-pack,Combustible,United States,US,Retail,2013,45,4,11,2013-11-11,2013-11-17,WH-United States-Retail-2602,T2,64,1,6.3333,6.3333,0,0,1,19
50,201346,64,1,OFF-PA-10002421,385,1,3,68,0,32.5,22.6667,22.6667,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-873943,Cigarettes,Combustible,Core,20-pack,Combustible,United States,US,Retail,2013,46,4,11,2013-11-18,2013-11-24,WH-United States-Retail-2602,T2,64,1,22.6667,22.6667,0,0,1,68
51,201346,64,1,OFF-PA-10001363,385,1,5,61,0,28.86,12.2,12.2,1,Core Maintain,Volume Discount,0,0,1,CIG-VAR-245500,Cigarettes,Combustible,Core,30-pack,Combustible,United States,US,Retail,2013,46,4,11,2013-11-18,2013-11-24,WH-United States-Retail-2602,T2,64,1,12.2,12.2,0,0,1,61
52,201403,64,1,OFF-PA-10000483,385,1,5,155,0,69.71,31,31,0,Value Drive,Price Support,0,0,1,CIG-VAR-565496,Cigarettes,Combustible,Value,10-pack,Combustible,United States,US,Retail,2014,3,1,1,2014-01-20,2014-01-26,WH-United States-Retail-2602,T2,64,1,31,31,0,0,1,155
53,201409,64,1,OFF-PA-10002870,385,1,6,37,0,16.85,6.1667,6.1667,0,Value Drive,Price Support,0,0,1,CIG-VAR-566105,Cigarettes,Combustible,Value,30-pack,Combustible,United States,US,Retail,2014,9,1,3,2014-03-03,2014-03-09,WH-United States-Retail-2602,T2,64,1,6.1667,6.1667,0,0,1,37
54,201416,64,1,OFF-PA-10004911,385,1,3,28,0,13.51,9.3333,9.3333,1,Value Drive,Price Support,0,0,1,CIG-VAR-627569,Cigarettes,Combustible,Value,20-pack,Combustible,United States,US,Retail,2014,16,2,4,2014-04-21,2014-04-27,WH-United States-Retail-2602,T2,64,1,9.3333,9.3333,0,0,1,28
55,201417,64,1,OFF-PA-10004675,385,1,3,19,0,8.76,6.3333,6.3333,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-709590,Cigarettes,Combustible,Premium,Multi-pack,Combustible,United States,US,Retail,2014,17,2,4,2014-04-28,2014-05-04,WH-United States-Retail-2602,T2,64,1,6.3333,6.3333,0,0,1,19
56,201418,64,1,OFF-PA-10003016,385,1,5,16,0,7.07,3.2,3.2,0,Value Drive,Price Support,0,0,1,CIG-VAR-278489,Cigarettes,Combustible,Value,10-pack,Combustible,United States,US,Retail,2014,18,2,5,2014-05-05,2014-05-11,WH-United States-Retail-2602,T2,64,1,3.2,3.2,0,0,1,16
57,201418,64,1,OFF-PA-10002713,385,1,5,34,0,15.82,6.8,6.8,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-117291,Cigarettes,Combustible,Premium,Multi-pack,Combustible,United States,US,Retail,2014,18,2,5,2014-05-05,2014-05-11,WH-United States-Retail-2602,T2,64,1,6.8,6.8,0,0,1,34
58,201424,64,1,OFF-PA-10000357,385,1,3,123,0,60.26,41,41,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-356980,Cigarettes,Combustible,Core,20-pack,Combustible,United States,US,Retail,2014,24,2,6,2014-06-16,2014-06-22,WH-United States-Retail-2602,T2,64,1,41,41,0,0,1,123
59,201425,64,1,OFF-PA-10002036,385,1,6,39,0,19.05,6.5,6.5,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-015229,Cigarettes,Combustible,Core,Multi-pack,Combustible,United States,US,Retail,2014,25,2,6,2014-06-23,2014-06-29,WH-United States-Retail-2602,T2,64,1,6.5,6.5,0,0,1,39
60,201427,64,1,OFF-PA-10000675,385,1,5,205,0,100.43,41,41,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-614155,Cigarettes,Combustible,Core,10-pack,Combustible,United States,US,Retail,2014,27,3,7,2014-07-07,2014-07-13,WH-United States-Retail-2602,T2,64,1,41,41,0,0,1,205
61,201430,64,1,OFF-PA-10002689,385,1,9,58,0,27.99,6.4444,6.4444,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-597652,Cigarettes,Combustible,Core,Multi-pack,Combustible,United States,US,Retail,2014,30,3,7,2014-07-28,2014-08-03,WH-United States-Retail-2602,T2,64,1,6.4444,6.4444,0,0,1,58
62,201434,64,1,OFF-PA-10001639,385,1,4,26,0,12.44,6.5,6.5,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-019840,Cigarettes,Combustible,Core,30-pack,Combustible,United States,US,Retail,2014,34,3,8,2014-08-25,2014-08-31,WH-United States-Retail-2602,T2,64,1,6.5,6.5,0,0,1,26
63,201437,64,1,OFF-PA-10000143,385,1,9,48,0,22.81,5.3333,5.3333,1,Value Drive,Price Support,0,0,1,CIG-VAR-126017,Cigarettes,Combustible,Value,Multi-pack,Combustible,United States,US,Retail,2014,37,3,9,2014-09-15,2014-09-21,WH-United States-Retail-2602,T2,64,1,5.3333,5.3333,0,0,1,48
64,201437,64,1,OFF-PA-10004071,385,1,3,166,0,79.89,55.3333,55.3333,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-690748,Cigarettes,Combustible,Core,10-pack,Combustible,United States,US,Retail,2014,37,3,9,2014-09-15,2014-09-21,WH-United States-Retail-2602,T2,64,1,55.3333,55.3333,0,0,1,166
65,201439,64,1,OFF-PA-10003641,385,1,8,211,0,97.08,26.375,26.375,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-949069,Cigarettes,Combustible,Core,10-pack,Combustible,United States,US,Retail,2014,39,3,9,2014-09-29,2014-10-05,WH-United States-Retail-2602,T2,64,1,26.375,26.375,0,0,1,211
66,201441,64,1,OFF-PA-10001745,385,1,5,35,0,16.54,7,7,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-560805,Cigarettes,Combustible,Premium,20-pack,Combustible,United States,US,Retail,2014,41,4,10,2014-10-13,2014-10-19,WH-United States-Retail-2602,T2,64,1,7,7,0,0,1,35
67,201446,64,1,OFF-PA-10000520,385,1,3,19,0,9.33,6.3333,6.3333,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-737712,Cigarettes,Combustible,Premium,Multi-pack,Combustible,United States,US,Retail,2014,46,4,11,2014-11-17,2014-11-23,WH-United States-Retail-2602,T2,64,1,6.3333,6.3333,0,0,1,19
68,201446,64,1,OFF-PA-10001846,385,1,2,12,0,5.66,6,6,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-759585,Cigarettes,Combustible,Premium,30-pack,Combustible,United States,US,Retail,2014,46,4,11,2014-11-17,2014-11-23,WH-United States-Retail-2602,T2,64,1,6,6,0,0,1,12
69,201449,64,1,OFF-PA-10004735,385,1,7,45,0,21.77,6.4286,6.4286,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-882787,Cigarettes,Combustible,Core,10-pack,Combustible,United States,US,Retail,2014,49,4,12,2014-12-08,2014-12-14,WH-United States-Retail-2602,T2,64,1,6.4286,6.4286,0,0,1,45
70,201451,64,1,OFF-PA-10003172,385,1,2,13,0,6.22,6.5,6.5,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-543220,Cigarettes,Combustible,Core,10-pack,Combustible,United States,US,Retail,2014,51,4,12,2014-12-22,2014-12-28,WH-United States-Retail-2602,T2,64,1,6.5,6.5,0,0,1,13
71,201451,64,1,OFF-PA-10000289,385,1,5,32,0,15.55,6.4,6.4,0,Value Drive,Price Support,0,0,1,CIG-VAR-568346,Cigarettes,Combustible,Value,10-pack,Combustible,United States,US,Retail,2014,51,4,12,2014-12-22,2014-12-28,WH-United States-Retail-2602,T2,64,1,6.4,6.4,0,0,1,32
72,201109,64,1,OFF-PA-10003363,386,2,2,13,0,6.22,6.5,6.5,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-527562,Cigarettes,Combustible,Premium,20-pack,Combustible,United States,US,E-Commerce,2011,9,1,2,2011-02-28,2011-03-06,WH-United States-E-Commerce-5538,T3,64,2,6.5,6.5,0,0,1,13
73,201115,64,1,OFF-PA-10001977,387,3,1,55,0,26.63,55,55,0,Value Drive,Contract Rebate,0,0,1,CIG-VAR-625109,Cigarettes,Combustible,Value,10-pack,Combustible,United States,US,Key Accounts,2011,15,2,4,2011-04-11,2011-04-17,WH-United States-Key Accounts-7900,T1,64,3,55,55,0,0,1,55
74,201115,64,1,OFF-PA-10003309,387,3,3,19,0,9.33,6.3333,6.3333,0,Contracted,Contract Rebate,0,0,1,CIG-VAR-645238,Cigarettes,Combustible,Core,20-pack,Combustible,United States,US,Key Accounts,2011,15,2,4,2011-04-11,2011-04-17,WH-United States-Key Accounts-7900,T1,64,3,6.3333,6.3333,0,0,1,19
75,201120,64,1,OFF-PA-10003063,387,3,2,8,0,3.84,4,4,0,Contracted,Contract Rebate,0,0,1,CIG-VAR-605275,Cigarettes,Combustible,Core,10-pack,Combustible,United States,US,Key Accounts,2011,20,2,5,2011-05-16,2011-05-22,WH-United States-Key Accounts-7900,T1,64,3,4,4,0,0,1,8
76,201131,64,1,OFF-PA-10002195,386,2,1,6,0,3.18,6,6,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-595812,Cigarettes,Combustible,Premium,10-pack,Combustible,United States,US,E-Commerce,2011,31,3,8,2011-08-01,2011-08-07,WH-United States-E-Commerce-5538,T3,64,2,6,6,0,0,1,6
77,201135,64,1,OFF-PA-10004983,387,3,4,26,0,12.44,6.5,6.5,0,Value Drive,Contract Rebate,0,0,1,CIG-VAR-305231,Cigarettes,Combustible,Value,10-pack,Combustible,United States,US,Key Accounts,2011,35,3,8,2011-08-29,2011-09-04,WH-United States-Key Accounts-7900,T1,64,3,6.5,6.5,0,0,1,26
78,201145,64,1,OFF-PA-10000477,387,3,13,65,0,30.43,5,5,0,Value Drive,Contract Rebate,0,0,1,CIG-VAR-605657,Cigarettes,Combustible,Value,30-pack,Combustible,United States,US,Key Accounts,2011,45,4,11,2011-11-07,2011-11-13,WH-United States-Key Accounts-7900,T1,64,3,5,5,0,0,1,65
79,201145,64,1,OFF-PA-10004947,386,2,5,21,0,9.63,4.2,4.2,0,Core Maintain,Volume Discount,0,0,1,CIG-VAR-823309,Cigarettes,Combustible,Core,20-pack,Combustible,United States,US,E-Commerce,2011,45,4,11,2011-11-07,2011-11-13,WH-United States-E-Commerce-5538,T3,64,2,4.2,4.2,0,0,1,21
80,201146,64,1,OFF-PA-10003625,386,2,4,124,0,55.76,31,31,0,Premium Hold,Display Allowance,0,0,1,CIG-VAR-818808,Cigarettes,Combustible,Premium,Multi-pack,Combustible,United States,US,E-Commerce,2011,46,4,11,2011-11-14,2011-11-20,WH-United States-E-Commerce-5538,T3,64,2,31,31,0,0,1,124
